Time,Body[x],Body[y],Body[z],Left Shoulder [x],Left Shoulder [y],Left Shoulder [z],Right Shoulder [x],Right Shoulder [y],Right Shoulder [z],Right Elbow [x],Right Elbow [y],Right Elbow [z],Right Hand [x],Right Hand [y],Right Hand [z]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
